,book title,ratings,avg_score,author,score,votes
4034,The Island,"3,799",3.93,Lisa Henry,"86,",1
4035,"Flat-Out Celeste (Flat-Out Love, #2)","9,578",4.24,Jessica Park,"86,",1
4036,"Blood Ties (Bishop/Special Crimes Unit, #12; Blood, #3)","10,227",4.20,Kay Hooper,"86,",1
4037,"Made (Sempre, #0.4)","3,210",4.52,J.M. Darhower,"86,",1
4038,London Lady: A dangerous love story set in the gritty gangster world of Swinging London,33,4.33,Heather  Hart,"86,",1
4039,"One Day Soon (One Day Soon, #1)","3,867",4.07,A. Meredith Walters,"86,",1
4040,"Silence (Silence, #1)","34,093",3.97,Natasha Preston,"86,",1
4041,"Keep Me Safe (Slow Burn, #1)","14,088",3.53,Maya Banks,"86,",1
4042,The Road to You,978,4.26,Melissa Toppen,"86,",1
4043,All the Wrong Places (Destiny's Games #2),"1,038",4.39,Jerilee Kaye,"86,",1
4044,The Perilous Life of Jade Yeo,"1,311",3.78,Zen Cho,"86,",1
4045,Original Justice (Justice Brothers #4),332,4.61,Suzanne Halliday,"86,",1
4046,"Masterson (Fixer Series, #1)","2,246",3.92,Lisa Lang Blakeney,"86,",1
4047,"When Sparks Fly (Spark House, #1)","18,121",3.65,Helena Hunting,"86,",1
4048,Meridian File (The Rider Files #1),avg,really,C.B. Samet,"86,",1
4049,The Wedding Dress,"10,723",4.12,Danielle Steel,"86,",1
4050,"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)","83,783",4.28,Sabaa Tahir,"86,",1
4051,"Collide (Blackcreek, #1)","12,616",3.98,Riley Hart,"86,",1
4052,Window Shopping,"120,795",3.45,Tessa Bailey,"86,",1
4053,"Ruin and Rising (Shadow and Bone, #3)","593,539",3.97,Leigh Bardugo,"86,",1
4054,"Spice (Sugar and Spice, #1)",256,3.51,Seressia Glass,"86,",1
4055,The Ranch,"7,931",3.84,Danielle Steel,"86,",1
4056,"A Christmas Date (First Comes Love, #3)","4,385",3.77,Camilla Isley,"86,",1
4057,"Be My Brayshaw (Brayshaw, #4)","15,213",4.28,Meagan Brandy,"86,",1
4058,When I'm With You  (Home to Hearts Bend #1),152,4.34,Rachel Hauck,"86,",1
4059,"Camille (Camille, #1)","2,688",3.69,Tess Oliver,"85,",1
4060,"Hour of the Lion (The Wild Hunt Legacy, #1)","7,497",4.14,Cherise Sinclair,"85,",1
4061,Take a Bow,"7,071",3.87,Elizabeth Eulberg,"85,",1
4062,Something About Polly (Bedlingham #2),227,4.11,Barbara Elsborg,"85,",1
4063,"Blood Will Tell (Warriors of Ankh, #1)","6,167",3.91,Samantha Young,"85,",1
4064,Freefall (High Risk #1),"1,753",3.79,JoAnn Ross,"85,",1
4065,"Slow Heat (Pacific Heat, #2)","7,912",4.09,Jill Shalvis,"85,",1
4066,Never Love a Cowboy,269,4.10,Jill Gregory,"85,",1
4067,"Pull (Seaside, #2)","5,905",4.20,Rachel Van Dyken,"85,",1
4068,The Cardinal and the Queen,76,3.76,Evelyn Anthony,"85,",1
4069,"Rising Storm (Bluegrass Brothers, #2)","5,904",4.41,Kathleen Brooks,"85,",1
4070,"Turned (The Vampire Journals, #1)","14,391",3.37,Morgan Rice,"85,",1
4071,Labor of Love,"4,095",3.88,Rachel Hawthorne,"85,",1
4072,"Wings of the Morning (Kensington Chronicles, #2)","6,610",4.26,Lori Wick,"85,",1
4073,"Mrs. Mike (Mrs. Mike, #1)","20,673",4.15,Benedict Freedman,"85,",1
4074,The House of Erotica Witching Hour,0,0.00,Victoria Blisse,"85,",1
4075,Trędowata,"1,138",3.85,Helena Mniszkówna,"85,",1
4076,"The Case of William Smith (Miss Silver, #13)","1,739",4.11,Patricia Wentworth,"85,",1
4077,By the River Piedra I Sat Down and Wept,"109,716",3.57,Paulo Coelho,"85,",1
4078,"Chasing The Night (Eve Duncan, #11; Catherine Ling, #1)","13,975",4.15,Iris Johansen,"85,",1
4079,Tackled,"5,750",3.95,Sabrina Paige,"85,",1
4080,"Fighting Destiny (The Fae Chronicles, #1)","48,508",3.95,Amelia Hutchins,"85,",1
4081,"Girl from Jussara (Werelock Evolution, #0.5)",216,4.08,Hettie Ivers,"85,",1
4082,Vows,"2,857",4.11,LaVyrle Spencer,"85,",1
4083,"Our Totally, Ridiculous, Made-up Christmas Relationship","1,635",4.01,Brittainy C. Cherry,"85,",1
4084,"Notorious Pleasures (Maiden Lane, #2)","14,079",3.91,Elizabeth Hoyt,"85,",2
4085,"Echoes of Scotland Street (On Dublin Street, #5)","25,027",4.24,Samantha Young,"85,",1
4086,"#Player (Hashtag, #3)","9,131",4.25,Cambria Hebert,"85,",1
4087,"Firefly Lane (Firefly Lane, #1)","482,756",4.20,Kristin Hannah,"85,",1
4088,"Playing Defense (Corrigan Falls Raiders, #2)",944,3.71,Cate Cameron,"85,",1
4089,"Madam, Will You Talk?","8,457",4.09,Mary  Stewart,"85,",1
4090,"Gutter Roses (Radical Proposals, #0.5)",84,3.86,Jude Lucens,"85,",1
4091,"The Warrior Poet (The St. John and de Gare Clans, #1)",461,4.44,Kathryn Le Veque,"85,",1
4092,"Blackwing Wolf (Kane's Mountains, #2)","3,856",4.48,T.S. Joyce,"85,",1
4093,Bad Luck Bridesmaid,"3,140",3.43,Alison Rose Greenberg,"85,",1
4094,Real Talk: Series Premiere,5,4.80,H.M. Aguilar Chanchan,"85,",1
4095,"To Treasure an Heiress (The Secrets of the Isles, #2)","1,497",4.45,Roseanna M. White,"85,",1
4096,"Claiming His Wife (Domestic Discipline, #4)",671,4.27,Golden Angel,"85,",1
4097,Unequal Affections: A Pride and Prejudice Retelling,"6,274",4.08,Lara S. Ormiston,"85,",1
4098,Wrapped Up in You,"7,720",3.52,Talia Hibbert,"85,",1
4099,Summer Skin,"3,202",3.73,Kirsty Eagar,"85,",1
4100,Falcon Moon,130,4.28,Cassie Edwards,"85,",1
4101,"Don't Kiss and Spell (Paranormal Romance, #1)",858,3.60,Camilla Isley,"85,",1
4102,"Little Thieves (Little Thieves, #1)","26,791",4.22,Margaret  Owen,"85,",1
4103,The Soldier and the Baby,741,3.73,Anne Stuart,"84,",1
4104,"Bayou Moon (The Edge, #2)","30,885",4.09,Ilona Andrews,"84,",2
4105,"Undead (Undead, #1)","3,691",3.88,Kirsty McKay,"84,",1
4106,"Midnight Honor (Highlands, #3)",970,4.18,Marsha Canham,"84,",1
4107,"Pídeme lo que quieras (Pídeme lo que quieras, #1)","34,270",3.73,Megan Maxwell,"84,",1
4108,Crossfire (High Risk #2),"1,018",3.83,JoAnn Ross,"84,",1
4109,"Game for Marriage (Game for It, #1)","7,040",3.89,Karen  Erickson,"84,",2
4110,"Rough Wrangler, Tender Kisses: A Novel",393,3.85,Jill Gregory,"84,",1
4111,The Widow of Ratchets,57,4.21,Owen Brookes,"84,",1
4112,"Secret Santa (Bluegrass Brothers, #2.5)","5,397",4.19,Kathleen Brooks,"84,",1
4113,Caribbean Cruising: A Fun YA Summer Adventure Where Plans Change and Love Happens,"5,256",3.86,Rachel Hawthorne,"84,",1
4114,Love's Reprise,6,4.33,Cassandre Dayne,"84,",1
4115,"Blue Horizon (Courtney publication, #11; Courtney chronological, #5)","10,518",4.29,Wilbur Smith,"84,",1
4116,"Kaleidoscope (Colorado Mountain, #6)","24,330",4.17,Kristen Ashley,"84,",2
4117,The Runaway Princess,"5,543",3.73,Hester Browne,"84,",1
4118,Crossfire of Love,282,3.55,Ella Jade,"84,",1
4119,"Faithful (Wanted, #3)","10,915",4.32,Kelly Elliott,"84,",1
4120,"Kick (Songs of Perdition, #1)","2,579",4.01,C.D. Reiss,"84,",1
4121,Scoring Wilder,"33,854",3.99,R.S. Grey,"84,",1
4122,November of the Heart,"3,531",4.07,LaVyrle Spencer,"84,",1
4123,"Love and Lists (Chocoholics, #1)","11,897",4.16,Tara Sivec,"84,",1
4124,"The Raider (Montgomery/Taggert, #9)","6,026",3.95,Jude Deveraux,"84,",2
